Soil_pH,Nitrogen,Phosphorus,Potassium,Moisture_Content_%,Temperature_C,Historical_Yield_kg_ha,Crop_Yield_kg_ha
6.75,70.1,78.9,84.4,45.0,36.8,3400.9,2865.7
7.58,93.2,70.7,24.1,26.1,13.5,4557.1,3240.0
6.48,92.7,27.2,19.5,11.9,39.7,3947.6,2970.0
6.59,74.8,43.1,25.4,40.6,16.3,2820.9,2764.4
6.21,14.3,22.3,71.7,33.1,10.4,4354.4,3180.0
4.6,88.5,43.6,81.2,44.7,39.9,5017.0,3528.0
4.93,69.2,56.2,74.9,42.2,18.4,1160.2,940.0
4.63,37.9,11.4,55.1,19.4,30.0,3795.2,3450.1
7.05,26.9,70.3,89.5,16.5,15.3,1346.1,1208.5
5.76,20.5,49.5,15.5,38.0,27.4,2118.4,2199.0
6.53,14.5,79.2,79.4,30.8,37.1,4363.1,3287.3
8.13,77.9,6.9,44.2,8.1,19.6,6197.1,5583.4
5.5,31.2,67.4,46.4,13.2,30.1,6296.8,5026.0
6.14,12.2,64.4,20.2,11.8,15.6,1419.7,1136.7
7.52,45.8,15.0,12.7,31.5,28.7,3514.6,3237.4
5.42,53.4,30.1,35.3,8.9,20.1,4498.0,4162.1
4.81,25.2,71.4,24.0,14.3,16.3,1882.4,1537.3
5.66,14.0,43.9,48.7,29.5,19.4,5592.6,5318.6
5.14,27.0,35.1,21.8,11.0,15.4,5465.4,4460.4
8.22,71.1,72.9,21.0,16.2,37.1,6420.0,4634.5
7.73,17.4,12.0,80.2,45.8,21.9,1050.9,1064.9
7.03,60.0,40.5,83.7,36.4,17.4,2300.1,1901.7
7.99,23.2,53.9,87.1,18.8,23.5,5963.1,5570.3
7.71,27.6,50.6,64.4,44.5,19.6,5023.5,4191.3
5.25,45.4,24.8,71.7,16.3,32.3,6366.3,5738.7
8.07,19.1,47.2,76.9,31.5,39.1,1343.1,1039.8
6.66,25.6,58.1,62.7,21.6,23.1,4581.8,4217.7
7.73,41.4,48.9,36.4,38.8,35.8,4414.3,3535.3
8.08,39.7,56.3,22.5,21.7,27.0,1214.0,1080.4
5.77,77.4,24.2,29.0,16.2,14.7,4081.1,3131.4
4.94,16.7,67.5,77.2,32.3,30.7,4657.1,4067.1
5.41,87.4,38.7,65.7,38.5,25.4,2147.8,2055.9
6.21,83.5,79.0,46.5,29.1,29.5,2640.0,2414.0
7.77,78.9,6.7,12.4,37.2,36.7,4842.1,3767.8
7.94,37.8,33.5,31.3,24.0,23.2,3809.8,3211.0
4.53,84.1,18.5,68.3,40.8,37.0,6148.1,4730.1
6.54,26.5,46.7,51.0,31.3,32.5,3054.3,2659.3
6.17,21.2,23.2,44.8,13.8,24.7,2600.0,2756.6
5.39,14.0,60.3,35.1,45.1,28.1,6909.2,6796.1
4.98,94.5,71.1,58.6,42.7,19.8,6466.8,6265.6
5.85,37.7,20.8,87.3,48.4,39.5,1174.0,824.8
8.27,92.6,17.1,82.1,30.6,30.0,5624.4,4778.3
5.79,34.5,70.7,12.4,35.4,11.3,1662.0,1370.5
6.58,91.7,32.1,48.5,43.9,19.8,1164.9,1136.5
7.31,91.4,37.6,36.4,7.4,28.7,2642.2,2346.4
5.95,93.1,21.6,50.8,46.0,11.7,2616.1,2227.9
8.39,54.7,36.9,58.5,17.2,10.7,5915.9,3620.7
8.35,87.9,22.3,26.0,7.6,23.5,5264.0,4756.9
5.51,95.6,54.9,72.5,15.7,20.0,6889.7,5913.7
6.49,39.2,42.4,48.0,31.4,23.1,5269.1,5263.2
5.7,47.7,64.1,89.4,7.2,17.9,3509.5,2825.1
5.64,74.7,28.5,12.0,5.0,14.9,5193.6,3625.7
4.65,37.0,42.9,25.2,33.8,30.7,6996.8,5883.6
6.94,77.8,24.5,65.2,25.4,25.4,5260.9,5762.2
6.51,16.7,75.1,65.6,43.0,16.0,5570.1,5480.0
4.71,57.1,44.1,56.6,16.6,19.6,6630.2,5769.0
5.61,21.0,18.0,87.8,17.6,27.8,1681.9,1538.6
8.13,36.4,25.5,43.2,8.5,12.2,5228.7,3808.2
5.46,33.3,11.2,43.4,29.2,14.4,6104.8,4785.4
5.08,85.5,7.1,82.8,21.5,12.2,6726.3,4805.0
6.46,27.4,44.4,53.1,20.3,34.4,2265.8,1790.9
8.44,82.8,30.3,38.3,25.6,32.6,4023.6,3466.6
5.47,81.5,77.3,67.5,43.2,32.6,5083.3,4601.5
7.19,54.9,17.8,59.6,9.7,31.5,2484.8,2332.3
7.55,31.0,64.5,34.5,28.6,30.1,4602.8,4407.3
5.45,30.4,28.7,33.8,13.8,24.3,2545.5,2382.6
7.41,51.8,21.8,41.6,14.6,29.3,3000.7,2818.5
5.97,10.8,77.7,15.7,16.6,11.2,3649.1,2618.5
7.03,57.8,65.2,85.4,25.7,28.6,4175.1,3737.0
7.03,95.8,52.3,24.6,27.2,33.3,3696.2,3230.1
6.64,23.9,57.3,25.5,44.2,25.0,3959.2,4580.6
4.86,61.6,79.4,61.8,45.1,20.7,2791.5,2812.8
7.84,96.6,49.5,67.9,31.4,18.3,1953.8,1755.7
5.78,87.4,12.6,68.9,17.7,29.3,1284.1,1161.1
5.25,86.5,9.9,40.0,41.8,30.8,2175.9,1774.7
4.66,84.0,55.0,79.9,40.7,36.1,4491.7,3411.8
6.86,37.8,54.3,53.5,40.9,20.3,5716.7,6100.1
7.21,90.2,61.1,45.1,5.7,33.1,2015.5,1762.4
4.57,94.7,13.2,74.8,38.9,26.8,1651.3,1652.4
6.55,54.6,75.9,29.5,43.4,36.5,5495.7,4897.4
5.41,41.9,46.3,78.8,32.2,25.8,2830.9,2916.7
7.08,47.3,53.7,53.1,38.8,25.5,6709.0,7156.3
5.2,40.1,7.6,82.0,39.9,27.3,5285.9,5067.1
7.26,29.1,77.1,26.1,27.8,32.5,2960.5,2538.2
6.05,65.7,47.2,84.9,41.6,38.9,2737.3,2307.5
8.25,60.6,47.3,65.0,40.7,12.2,4142.2,3031.3
5.05,51.6,75.8,59.5,46.2,11.6,1474.9,1195.7
5.86,18.6,74.7,43.8,46.5,38.1,1706.1,1432.7
4.95,81.7,21.5,86.5,28.8,25.9,2055.1,2123.4
8.2,25.7,74.8,45.5,6.4,28.4,5648.3,4459.4
8.01,20.3,60.2,49.9,5.9,24.5,4083.1,3522.7
5.53,66.1,6.4,72.5,47.3,12.8,1063.4,814.4
7.14,45.9,23.0,32.8,20.2,33.0,5041.1,4534.4
7.77,15.4,36.0,33.3,22.0,32.4,3542.1,3135.5
6.72,42.0,48.7,72.0,26.1,19.4,4065.1,3460.3
6.62,79.5,57.6,20.3,17.0,19.2,2284.7,2026.6
5.47,65.4,20.8,75.8,31.6,35.1,4310.7,3765.3
4.87,42.7,67.8,60.0,40.3,12.2,6874.9,4908.0
8.09,27.3,68.4,53.1,16.6,36.4,1440.7,1168.9
8.1,66.9,52.6,28.3,38.4,17.7,2703.5,2305.8
7.03,89.9,74.1,72.9,35.2,27.8,2458.0,2731.0
5.86,68.2,66.0,74.4,28.7,38.1,2491.3,1909.1
5.9,83.2,21.6,48.6,19.6,30.3,3272.2,2875.3
7.4,56.9,64.9,41.1,44.3,22.4,5908.7,5751.2
8.09,74.6,76.5,29.7,23.1,30.7,6477.2,6068.8
8.05,90.7,15.3,70.3,21.9,20.3,2213.3,1899.4
7.62,79.6,78.4,61.2,33.9,18.3,4257.7,3968.9
7.07,91.9,6.9,26.5,46.4,39.9,4821.4,3584.6
4.84,48.8,44.2,73.6,27.9,32.5,4131.0,3757.4
5.15,91.4,63.0,80.6,37.5,29.3,3604.5,3195.1
8.09,65.9,64.3,14.7,25.6,20.7,2151.9,1891.8
6.93,88.3,60.1,71.8,14.8,11.5,3929.3,2757.6
4.54,13.5,44.7,78.2,10.6,10.9,3407.3,2299.0
4.91,69.2,53.8,89.3,11.1,26.6,5773.4,5305.3
7.15,86.3,57.5,29.0,6.0,32.9,5581.6,4263.8
4.52,25.7,42.1,39.7,29.9,26.1,1804.0,1796.7
5.14,69.6,49.7,87.3,10.9,35.2,1531.1,1162.3
6.69,84.2,68.5,17.5,44.0,11.0,6448.9,5086.8
7.27,35.9,28.5,51.9,49.2,21.0,4213.1,4021.6
7.11,46.5,44.2,50.5,27.3,17.1,6146.8,5318.5
5.4,61.3,5.6,58.5,25.2,23.4,1348.9,1173.2
7.35,56.7,56.6,36.5,20.7,12.2,4159.1,3311.7
5.45,13.5,19.7,84.1,33.7,38.6,4236.6,3015.2
5.8,18.9,41.1,31.6,32.4,16.7,6164.2,5474.5
7.49,19.0,20.8,62.0,20.5,37.7,1585.7,1062.4
7.1,33.6,6.8,49.7,20.4,22.8,2442.7,2346.2
7.9,32.1,41.2,31.3,34.0,39.6,3439.2,2606.0
7.13,76.8,36.9,25.1,30.0,26.6,6195.0,6072.0
6.77,61.5,36.9,86.5,37.3,37.9,6633.3,5010.2
4.87,78.8,20.7,54.9,47.4,10.2,6956.3,4588.8
5.97,16.3,76.0,58.3,40.1,32.4,6755.2,6560.3
5.56,53.7,5.3,72.6,18.7,37.1,1035.7,738.3
5.48,39.1,71.9,16.5,39.2,14.2,1286.3,1134.4
8.39,86.5,60.3,67.1,25.3,12.9,1885.6,1330.5
6.07,73.7,17.9,23.2,40.0,22.7,3093.2,3106.0
8.07,88.2,40.4,69.2,44.9,38.0,5979.5,4524.4
7.02,14.2,79.2,21.3,16.2,26.3,6355.9,5668.4
7.68,74.9,53.3,76.6,15.7,25.8,2121.0,2093.2
6.51,58.6,14.6,64.5,24.5,14.2,4718.0,4036.3
6.81,84.3,39.3,40.9,7.3,10.0,6504.2,4831.2
6.47,55.6,40.1,38.7,35.9,34.3,3782.4,3329.1
5.28,58.6,65.2,21.9,38.7,12.6,1621.3,1323.2
7.39,14.7,73.7,82.3,20.5,29.0,3746.9,3660.3
5.62,70.2,11.2,19.5,25.9,37.4,3254.8,2297.4
4.6,34.6,28.6,47.8,31.6,16.3,4465.9,3472.5
7.08,11.8,27.4,28.9,8.3,30.0,3632.0,2943.5
5.21,16.0,79.7,89.7,37.0,12.4,1104.1,786.0
8.26,96.2,46.9,56.9,28.7,28.1,6964.0,6739.4
8.32,41.1,71.0,22.0,33.1,14.9,4261.2,3334.0
8.16,88.1,37.0,63.4,37.6,32.1,3841.8,3392.8
5.98,96.4,59.2,89.3,35.4,19.0,6727.7,6727.8
4.56,94.9,26.5,58.4,9.3,23.9,1935.2,1693.7
8.21,89.4,73.4,46.6,40.2,28.0,2135.4,2002.8
6.21,90.5,39.1,33.5,32.5,15.1,5848.1,5102.0
8.37,36.0,65.3,17.4,37.2,32.2,2565.0,1967.6
8.35,23.6,24.2,28.3,16.8,19.1,5795.4,5040.8
7.91,67.5,57.0,54.3,15.0,29.9,2629.2,2240.0
5.68,53.9,35.4,70.3,42.2,14.7,1199.1,1036.2
6.04,18.9,7.4,80.2,22.6,30.6,4102.1,4071.5
7.9,71.0,36.0,73.5,30.9,13.8,2180.1,1696.0
5.77,60.7,46.3,20.0,29.8,22.8,5547.1,5120.7
5.18,87.7,16.4,71.9,31.3,17.4,4847.2,3920.5
6.73,64.8,18.8,56.5,8.1,32.5,6541.6,5122.4
8.24,61.7,39.9,47.5,18.6,17.9,5697.9,4921.8
7.28,49.7,30.7,55.8,8.0,36.5,2084.7,1508.9
6.78,51.7,38.1,10.6,26.6,36.8,5800.9,4276.2
4.89,95.9,39.6,15.4,45.6,15.9,4850.4,4200.1
6.96,22.5,15.5,52.1,22.5,28.4,5013.7,4545.5
8.46,50.2,18.6,23.9,40.2,12.6,5993.6,4448.0
5.06,69.0,68.6,53.6,17.9,21.7,4442.9,4012.1
6.57,49.0,17.2,38.3,43.5,31.4,3796.0,3455.3
8.01,35.5,54.9,82.6,23.9,29.8,4819.8,4284.6
7.46,35.9,36.4,86.0,21.0,28.7,2787.7,2495.8
7.29,31.0,77.6,88.4,36.4,18.5,2095.6,2070.2
7.31,41.0,10.0,81.9,28.1,21.3,4699.5,4052.7
5.94,88.5,67.3,88.9,20.2,13.1,2403.1,1744.9
5.67,55.5,41.9,66.5,7.6,31.6,1479.5,1242.3
7.74,31.6,5.4,86.8,12.5,25.1,1003.3,900.3
7.74,44.6,24.8,61.3,39.8,31.3,4649.9,4337.2
7.97,19.5,35.6,74.7,46.4,17.5,3172.9,2664.0
8.15,91.4,28.6,20.6,12.6,19.7,5513.9,4442.1
6.55,46.7,32.2,64.6,30.6,20.0,3251.1,3035.3
6.51,98.2,73.8,84.5,6.5,10.8,3916.0,2793.9
7.69,41.3,32.1,53.2,18.1,20.2,3442.5,2917.0
7.1,85.3,36.4,24.9,25.2,34.1,4903.4,4179.3
7.31,33.1,62.1,52.2,38.1,36.9,3136.8,2674.7
7.68,16.9,64.5,66.6,7.0,25.5,6782.6,6291.1
8.06,12.9,11.3,71.6,40.2,23.7,6616.9,6150.8
5.85,64.6,57.8,51.9,14.1,10.9,6088.2,4671.4
6.0,38.0,41.2,27.4,39.2,36.4,6521.8,4774.4
4.88,49.9,15.0,84.1,33.1,10.4,3694.8,2487.0
6.81,83.7,24.9,71.9,20.3,38.3,4218.6,3202.9
4.64,32.3,8.4,31.7,37.6,24.7,5452.6,5316.6
6.36,37.8,32.0,74.9,15.6,20.3,5176.9,4506.2
6.67,86.1,24.2,37.8,14.9,37.7,6344.1,4808.4
5.65,54.3,33.7,35.0,7.8,10.7,5298.0,3727.3
6.86,84.5,48.5,79.0,22.7,27.4,6987.3,7046.0
4.62,43.7,59.9,79.9,9.4,26.5,3091.0,2863.5
4.65,45.9,50.4,41.9,23.9,16.6,5998.0,4929.4
7.79,25.0,55.9,10.7,5.4,22.9,5185.8,4537.4
5.94,92.5,69.9,24.9,12.0,29.6,5148.3,4335.6
5.01,90.7,70.5,82.7,47.0,31.8,2955.0,2453.6
6.59,98.6,69.6,81.9,40.8,10.0,5713.6,4815.2
7.58,46.2,16.5,46.3,15.6,38.1,6402.3,4754.3
5.36,83.7,23.8,34.3,37.3,14.9,2311.3,1984.1
6.99,47.3,42.7,34.2,35.1,17.0,4753.0,4536.8
4.84,50.9,31.9,81.8,13.0,17.9,3352.8,2881.2
4.71,84.7,14.9,36.0,21.7,11.1,6937.3,4966.7
6.63,26.0,26.6,50.9,46.1,13.7,3873.0,3342.8
6.66,29.8,78.2,68.5,38.2,39.6,2369.9,1738.3
7.05,38.3,31.0,26.8,39.2,19.5,3291.1,3331.9
7.4,80.9,36.4,30.3,30.4,13.5,4923.0,3909.8
8.4,43.5,5.5,38.6,34.9,13.2,1456.5,1008.0
6.57,42.2,59.0,62.3,27.9,31.6,4621.6,4033.5
5.79,99.9,36.0,75.4,38.3,35.6,6587.3,5905.6
7.68,44.5,12.7,53.7,38.0,17.7,6102.2,5005.0
5.58,32.3,77.6,20.6,6.4,10.6,1406.0,880.5
6.26,66.1,63.3,45.7,33.4,16.7,6960.3,6143.4
4.81,82.2,59.5,20.2,33.3,11.7,5192.4,4014.9
4.6,16.3,76.8,17.1,8.0,13.1,1973.7,1353.6
8.35,65.7,35.6,57.2,23.5,22.9,1074.5,1050.5
7.84,13.2,58.9,86.5,45.4,16.9,2027.7,1868.8
7.28,57.4,20.5,77.0,47.9,25.5,6029.1,6824.4
6.14,33.1,57.3,72.0,40.2,17.6,1129.8,1055.1
5.19,37.6,6.1,68.2,11.8,38.2,2398.9,1750.6
5.13,52.0,14.5,81.8,21.9,37.2,5543.8,3916.7
5.5,93.4,36.9,70.2,13.2,27.0,4516.7,3987.7
6.7,74.0,5.9,60.2,34.3,20.6,5696.4,5573.6
7.36,94.3,39.6,39.2,39.8,21.4,5476.9,4824.9
7.14,69.4,44.2,18.1,44.8,22.4,1303.6,1301.7
5.62,10.6,51.6,46.9,43.7,31.8,6355.1,5244.5
8.32,33.9,12.5,84.0,9.5,23.5,2362.2,1961.1
7.45,91.5,18.6,56.6,10.7,35.7,4320.4,3599.2
6.72,67.9,51.0,24.8,45.9,38.3,4865.7,4002.5
6.95,98.3,54.4,61.9,43.0,20.1,2011.8,2045.9
6.18,24.0,6.9,47.2,25.7,26.8,6857.4,6621.2
5.49,36.7,45.5,84.5,24.4,12.9,3928.9,2958.9
5.92,42.6,63.9,22.9,29.9,16.0,1345.9,1095.1
7.53,39.4,10.2,67.0,31.8,22.4,6623.6,6250.2
4.56,32.7,36.0,64.5,16.4,16.2,4517.6,3546.1
4.96,49.9,29.5,88.7,23.2,36.3,5195.2,3697.3
4.68,67.8,73.5,55.2,32.9,14.7,4151.1,3118.6
4.66,38.0,18.9,79.7,14.3,23.7,6008.4,5486.6
7.92,17.2,28.9,12.0,49.9,28.2,1198.8,1100.2
7.31,73.8,72.4,19.8,17.7,30.8,2610.3,2474.4
6.4,51.3,29.8,37.7,29.9,21.5,3817.9,3986.5
4.89,60.1,44.9,59.5,29.9,36.1,1459.6,1086.4
6.47,51.0,7.5,45.9,25.3,27.0,5235.4,5196.5
6.39,90.1,78.9,26.2,15.9,23.2,3362.0,3729.2
5.19,60.3,66.9,57.1,30.4,12.0,2636.0,2104.5
6.24,93.1,52.6,55.3,9.1,23.9,1020.3,969.5
6.09,56.0,9.6,52.0,22.4,34.6,5319.0,4202.5
6.96,36.3,10.6,17.2,15.1,28.4,6002.9,5067.6
7.04,42.0,45.9,84.2,10.6,35.0,3370.2,2818.5
4.68,57.0,26.4,57.4,46.6,24.8,4385.3,4217.4
6.0,57.7,51.7,31.1,36.5,13.6,2366.1,1940.0
7.0,71.9,49.9,65.0,12.6,10.4,4733.2,3602.8
6.51,30.2,67.9,35.4,47.7,19.1,1072.8,1112.6
7.93,69.3,26.1,50.5,14.7,30.9,3931.9,3224.1
7.13,80.1,48.3,37.3,15.6,33.7,4865.2,3857.0
5.15,70.9,63.3,80.4,11.0,18.9,6509.2,5998.6
4.78,53.4,41.8,89.5,37.8,24.9,3288.0,3218.9
7.07,99.3,67.3,22.9,30.7,22.6,5591.1,5976.9
4.61,46.4,14.8,11.9,7.6,22.3,4586.1,3649.5
6.84,19.6,60.0,27.5,6.1,16.9,6562.1,5891.3
8.26,83.9,75.7,57.2,29.0,14.1,3390.3,2630.4
6.8,29.1,29.9,23.9,34.3,15.9,2914.6,2318.5
6.05,74.2,32.5,74.9,42.0,11.7,6322.9,5058.1
7.07,26.1,11.3,42.7,26.5,15.9,1295.5,1150.0
6.33,11.5,53.1,58.8,35.4,10.3,1818.3,1335.7
6.68,24.4,46.4,46.4,38.0,28.8,1494.4,1378.2
8.27,43.9,8.0,82.3,32.6,19.5,6058.7,5344.9
6.04,19.6,61.4,12.8,20.8,39.2,1063.6,819.9
8.34,27.8,67.2,68.3,10.9,15.8,6169.9,4374.2
8.12,78.8,73.0,62.2,34.1,20.4,3707.6,3095.4
5.28,79.3,45.9,62.0,39.6,20.7,1024.2,884.4
4.78,83.6,38.9,43.1,13.5,10.3,3409.9,2168.1
4.9,85.7,70.7,11.3,27.3,35.2,2120.8,1499.9
4.57,47.8,34.9,65.1,22.9,11.0,4746.4,3212.1
4.88,88.1,54.2,76.4,14.3,38.2,5076.2,3785.8
7.23,57.3,51.2,16.8,16.0,36.8,3925.2,3111.7
4.78,52.4,32.9,45.3,15.7,26.1,1243.1,1181.0
5.78,74.7,11.5,23.0,23.9,26.3,4936.8,4644.2
7.88,29.2,6.6,58.9,22.6,29.6,6052.2,5555.5
4.59,81.1,37.1,72.8,29.9,21.6,5321.9,4940.9
7.76,48.7,41.1,63.3,9.2,29.4,5979.7,5634.3
5.63,21.5,66.7,35.4,31.2,11.3,2203.1,1621.4
4.97,20.7,36.1,21.2,6.0,11.6,6333.3,3996.5
7.29,24.8,26.1,73.5,16.6,23.7,2933.2,2914.9
7.02,90.2,39.7,35.9,27.6,26.5,1080.4,1017.2
8.01,99.2,22.8,11.8,35.9,36.6,6060.3,5067.3
7.44,42.1,11.9,55.7,39.7,13.1,6650.9,5415.2
7.71,36.3,13.5,29.7,6.6,34.7,4933.3,3923.2
5.63,29.7,28.9,77.3,29.2,16.3,2388.6,2081.0
5.21,84.1,6.0,21.5,20.9,21.8,2510.5,2100.3
7.5,28.8,21.5,44.8,36.3,19.5,3799.6,3398.7
7.73,93.2,64.1,30.3,17.8,22.0,6387.0,6141.1
8.46,70.1,22.6,65.2,38.5,14.5,1897.6,1396.1
6.15,90.7,13.3,53.9,32.1,25.1,5955.8,6522.0
5.99,59.9,76.2,73.3,40.5,34.0,2747.8,2601.8
7.61,72.2,51.7,46.7,49.3,23.2,5851.5,5692.4
5.86,65.8,9.5,10.4,45.9,24.7,6521.6,6380.8
8.22,84.8,9.7,27.2,31.7,35.5,3565.0,2951.3
7.93,85.2,50.9,89.9,45.2,31.2,3190.3,2640.9
6.22,63.1,45.5,42.4,11.9,24.7,5813.3,5599.8
7.5,66.9,10.1,59.6,6.9,17.7,4176.9,3385.8
7.52,93.0,21.8,82.4,29.0,36.5,5106.7,4188.0
4.91,93.7,74.7,11.6,48.8,27.3,4737.0,5127.0
8.11,69.8,47.9,62.8,36.9,16.6,1917.3,1566.1
6.52,10.7,38.0,33.1,18.7,18.1,6068.7,5835.2
7.81,19.4,23.8,32.3,35.1,34.1,2174.7,1708.9
5.78,87.2,15.0,28.0,6.8,11.3,6593.7,4871.2
8.08,17.6,35.2,75.8,26.2,39.8,2503.4,1599.0
6.06,29.2,74.2,39.8,15.7,13.9,5403.3,4236.7
4.54,30.7,8.7,15.4,7.2,33.9,2707.9,2140.0
